name,picture,restaurant_id
"Big Mac","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_bigmac.jpg",10
"Cajita Feliz","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_cajita.gif",10
"Cuato de Libra,"http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/cuatolibra.png",10
"Desayunos","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_desayunos.jpg",10
"Mc Pollo","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_mcpollo.jpg",10
"Nuggets","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_nuggets.png",10
"Postres","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/md_postres.jpg",10
"Desayuno Criollo","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas_comida1.jpg",9
"Ensaladas","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas_comida2.gif",9
"Desayuno Americano","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas_comida3.jpg",9
"Merengada y Sandwiches","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas_comida4.jpg",9
"Wraps","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas_wraps.jpg",9
"Haburguesa Queso de Cabra","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis_qc.jpg",11
"Hamubrguesa Cebolla Crujiente","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis_cc.jpg",11
"Hamburguesa Vegetariana","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis_b.jpg",11
"Hot Dogs","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis_hd.jpg",11
"Pepitos","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis_p.jpg",11
"Avila Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_clasica.png",12
"Humbolt Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_h.png",12
"Cachimbo Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_c.png",12
"Pajarito Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_p.png",12
"Oriental Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_o.png",12
"Reto Burger","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_reto.png",12
"Fried Mozarella","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/fridays_m.jpg",13
"Bufalo Wings","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/fridays_b.jpg",13
"Bistro Sirloin Salad","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/fridays_s.jpg",13
"Burger Fridays Cheese","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/fridays_burger.jpg",13
"Classic Chocolate Malte Cake","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/fridays_choco.jpg",13
"Te Serenidad","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen_s.jpg",14
"Te Vitalidad","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen_v.jpg",14
"Ensalada La Punta","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen_lp.jpg",14
"Submarino Roast Beef y Mozarella","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen_r.jpg",14
"Wraps","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen_w.jpg",14